Column1,Column2,Column3,Column4
8000,55.15808,391,391
7000,48.26332,389,389
9000,62.05284,446,446
3500,24.13166,318,318
3500,24.13166,273,273
3500,24.13166,270,270
3500,24.13166,240,240
4000,27.57904,377,377
4000,27.57904,260,260
4000,27.57904,267,267
4000,27.57904,261,261
5000,34.4738,398,398
5000,34.4738,370,370
5000,34.4738,348,348
5000,34.4738,316,316
5000,34.4738,268,268
4000,27.57904,277,277
4000,27.57904,259,259
4500,31.02642,328,328
4500,31.02642,294,294
5000,34.4738,323,323
5000,34.4738,300,300
5000,34.4738,280,280
5000,34.4738,285,285
6000,41.36856,302,302
4000,27.57904,297,297
4000,27.57904,277,277
4000,27.57904,292,292
4000,27.57904,316,316
4000,27.57904,299,299
4500,31.02642,330,330
4500,31.02642,315,315
4500,31.02642,393,393
4000,27.57904,297,297
4500,31.02642,257,257
3000,20.68428,298,298
4000,27.57904,326,326
3000,20.68428,255,255
3500,24.13166,253,253
4500,31.02642,384,384
4500,31.02642,394,394
3500,24.13166,240,240
3500,24.13166,320,320
4000,27.57904,288,288
4000,27.57904,343,343
4000,27.57904,357,357
4500,31.02642,352,352
4000,27.57904,344,344
4500,31.02642,315,315
4000,27.57904,347,347
4500,31.02642,311,311
4000,27.57904,1010,0
3500,24.13166,522,522
3500,24.13166,283,283
4000,27.57904,341,341
4500,31.02642,295,295
4000,27.57904,306,306
4000,27.57904,306,306
4000,27.57904,265,265
4000,27.57904,284,284
4500,31.02642,329,329
4500,31.02642,354,354
4500,31.02642,296,296
5000,34.4738,353,353
6000,41.36856,405,405
6000,41.36856,309,309
6000,41.36856,283,283
4000,27.57904,314,314
150,1.034214,77.7,77.7
150,1.034214,49,49
1200,8.273712,53.7,53.7
3000,20.68428,212,212
3000,20.68428,201,201
400,2.757904,91.2,91.2
400,2.757904,97.5,97.5
3000,20.68428,612,612
3000,20.68428,1007,0
4000,27.57904,258,258
4000,27.57904,1110,0
4000,27.57904,258,258
4000,27.57904,242,242
4000,27.57904,243,243
10000,68.9476,353,353
10000,68.9476,273,273
5000,34.4738,506,506
2000,13.78952,169,169
5000,34.4738,521,521
2500,17.2369,300,300
3000,20.68428,340,340
3000,20.68428,325,325
3000,20.68428,164,164
3500,24.13166,344,344
4000,27.57904,408,408
3000,20.68428,410,410
4000,27.57904,249,249
4000,27.57904,314,314
4500,31.02642,204,204
5000,34.4738,459,459
5000,34.4738,425,425
5000,34.4738,206,206
6000,41.36856,231,231
6000,41.36856,316,316
8000,55.15808,321,321
8000,55.15808,247,247
100,0.689476,114,114
6000,41.36856,372,372
4500,31.02642,487,487
100,0.689476,76.6,76.6
3000,20.68428,396,396
100,0.689476,389,389
10000,68.9476,346,346
10000,68.9476,265,265
5000,34.4738,499,499
2000,13.78952,161,161
5000,34.4738,521,521
2500,17.2369,293,293
3000,20.68428,341,341
3000,20.68428,316,316
3000,20.68428,158,158
3500,24.13166,342,342
4000,27.57904,409,409
3000,20.68428,406,406
4000,27.57904,248,248
4000,27.57904,308,308
4500,31.02642,198,198
5000,34.4738,449,449
5000,34.4738,417,417
5000,34.4738,200,200
6000,41.36856,223,223
6000,41.36856,315,315
8000,55.15808,313,313
8000,55.15808,239,239
6000,41.36856,364,364
4500,31.02642,476,476
100,0.689476,68.8,68.8
100,0.689476,382,382
3000,20.68428,272,272
3500,24.13166,283,283
3500,24.13166,291,291
4000,27.57904,323,323
4000,27.57904,326,326
4500,31.02642,330,330
5000,34.4738,359,359
6000,41.36856,333,333
200,1.378952,4220,0
4500,31.02642,165,165
4000,27.57904,183,183
4000,27.57904,181,181
10000,68.9476,342,342
10000,68.9476,264,264
4500,31.02642,516,516
1500,10.34214,230,230
2000,13.78952,280,280
2500,17.2369,221,221
3000,20.68428,242,242
4000,27.57904,285,285
4000,27.57904,286,286
4000,27.57904,284,284
4500,31.02642,335,335
4500,31.02642,306,306
5000,34.4738,303,303
5000,34.4738,443,443
6000,41.36856,342,342
6000,41.36856,220,220
6000,41.36856,476,476
3000,20.68428,372,372
8000,55.15808,240,240
8000,55.15808,469,469
240,1.6547424,108,108
1500,10.34214,190,190
2500,17.2369,143,143
3000,20.68428,161,161
3500,24.13166,326,326
4000,27.57904,180,180
5000,34.4738,198,198
3500,24.13166,167,167
3500,24.13166,231,231
3500,24.13166,365,365
4000,27.57904,229,229
4000,27.57904,242,242
4000,27.57904,230,230
4000,27.57904,244,244
4500,31.02642,246,246
5000,34.4738,249,249
6000,41.36856,279,279
4000,27.57904,181,181
3000,20.68428,269,269
100,0.689476,108,108
4000,27.57904,252,252
4500,31.02642,366,366
7250,49.98701,438,438
4000,27.57904,355,355
4000,27.57904,355,355
4000,27.57904,384,384
4000,27.57904,315,315
5000,34.4738,433,433
4000,27.57904,293,293
4000,27.57904,355,355
6000,41.36856,372,372
6000,41.36856,465,465
5000,34.4738,356,356
5000,34.4738,333,333
4000,27.57904,314,314
5000,34.4738,338,338
4000,27.57904,341,341
4000,27.57904,355,355
4000,27.57904,352,352
3500,24.13166,252,252
3500,24.13166,259,259
4000,27.57904,270,270
3500,24.13166,273,273
3000,20.68428,247,247
4000,27.57904,235,235
4500,31.02642,319,319
4500,31.02642,319,319
4500,31.02642,331,331
4000,27.57904,320,320
4500,31.02642,335,335
4500,31.02642,336,336
50,0.344738,131,131
4000,27.57904,369,369
4000,27.57904,384,384
4000,27.57904,396,396
4500,31.02642,422,422
100,0.689476,183,183
3000,20.68428,293,293
3000,20.68428,293,293
3000,20.68428,291,291
3500,24.13166,312,312
4000,27.57904,322,322
4000,27.57904,335,335
4000,27.57904,333,333
4500,31.02642,354,354
2000,13.78952,309,309
2000,13.78952,332,332
4000,27.57904,333,333
4500,31.02642,356,356
5000,34.4738,503,503
4000,27.57904,504,504
1000,6.89476,458,458
3500,24.13166,267,267
50,0.344738,104,104
3000,20.68428,257,257
3000,20.68428,249,249
4000,27.57904,980,980
3500,24.13166,508,508
3000,20.68428,244,244
3500,24.13166,267,267
4000,27.57904,326,326
4500,31.02642,280,280
4000,27.57904,325,325
4000,27.57904,324,324
4000,27.57904,250,250
4000,27.57904,261,261
4500,31.02642,314,314
4500,31.02642,350,350
4500,31.02642,280,280
5000,34.4738,337,337
6000,41.36856,389,389
6000,41.36856,293,293
6000,41.36856,267,267
4000,27.57904,292,292
150,1.034214,48.3,48.3
150,1.034214,37.2,37.2
1200,8.273712,41.7,41.7
3000,20.68428,193,193
3000,20.68428,186,186
400,2.757904,77.3,77.3
400,2.757904,77.4,77.4
3000,20.68428,599,599
3000,20.68428,993,993
4000,27.57904,1091,0
4000,27.57904,241,241
4000,27.57904,243,243
4000,27.57904,227,227
4000,27.57904,223,223
1000,6.89476,210,210
2500,17.2369,302,302
2500,17.2369,227,227
3000,20.68428,191,191
3000,20.68428,249,249
3000,20.68428,477,477
3000,20.68428,262,262
3000,20.68428,283,283
3000,20.68428,223,223
3000,20.68428,220,220
3000,20.68428,237,237
3000,20.68428,229,229
4000,27.57904,411,411
4000,27.57904,508,508
4000,27.57904,523,523
4000,27.57904,518,518
4000,27.57904,315,315
4000,27.57904,311,311
4000,27.57904,334,334
4000,27.57904,412,412
4000,27.57904,371,371
4000,27.57904,338,338
4000,27.57904,337,337
4000,27.57904,358,358
4000,27.57904,305,305
4002,27.59282952,350,350
4000,27.57904,296,296
4000,27.57904,341,341
4000,27.57904,282,282
4000,27.57904,270,270
4000,27.57904,400,400
4000,27.57904,340,340
4000,27.57904,337,337
4000,27.57904,427,427
4000,27.57904,337,337
4000,27.57904,273,273
4000,27.57904,271,271
5000,34.4738,467,467
5000,34.4738,549,549
5000,34.4738,363,363
5000,34.4738,382,382
5000,34.4738,385,385
5000,34.4738,381,381
5000,34.4738,393,393
5000,34.4738,289,289
5000,34.4738,318,318
5000,34.4738,299,299
5000,34.4738,433,433
5000,34.4738,437,437
