fc′,dosage,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
40.0,20.0,2.97,3.5,198.0,0.0,0.0,933.0478493031288,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,1
40.0,20.0,2.97,3.5,198.0,0.0,0.0,622.0318995354193,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,2
40.0,20.0,2.97,3.5,198.0,0.0,0.0,1244.0637990708385,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,3
40.0,20.0,2.97,3.5,198.0,0.0,93.0,923.4725693031288,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,4
40.0,20.0,2.97,3.5,198.0,0.0,93.0,612.4566195354192,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,5
40.0,20.0,2.97,3.5,198.0,0.0,93.0,1234.4885190708385,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,6
40.0,20.0,2.97,3.5,198.0,0.0,186.0,913.8972893031287,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,7
40.0,20.0,2.97,3.5,198.0,0.0,186.0,602.8813395354192,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,8
40.0,20.0,2.97,3.5,198.0,0.0,186.0,1224.9132390708385,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,9
40.0,20.0,2.97,3.5,198.0,0.0,279.0,904.3220093031288,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,10
40.0,20.0,2.97,3.5,198.0,0.0,279.0,593.3060595354192,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,11
40.0,20.0,2.97,3.5,198.0,0.0,279.0,1215.3379590708385,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,12
40.0,20.0,2.97,3.5,198.0,0.0,372.0,894.7467293031287,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,13
40.0,20.0,2.97,3.5,198.0,0.0,372.0,583.7307795354193,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,14
40.0,20.0,2.97,3.5,198.0,0.0,372.0,1205.7626790708384,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,15
40.0,20.0,2.97,3.5,198.0,0.0,465.0,885.1714493031287,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,16
40.0,20.0,2.97,3.5,198.0,0.0,465.0,574.1554995354193,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,17
40.0,20.0,2.97,3.5,198.0,0.0,465.0,1196.1873990708384,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,18
40.0,20.0,2.97,3.5,198.0,0.0,558.0,875.5961693031287,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,19
40.0,20.0,2.97,3.5,198.0,0.0,558.0,564.5802195354192,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,20
40.0,20.0,2.97,3.5,198.0,0.0,558.0,1186.6121190708384,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,21
40.0,20.0,2.97,3.5,198.0,0.0,651.0,866.0208893031287,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,22
40.0,20.0,2.97,3.5,198.0,0.0,651.0,555.0049395354192,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,23
40.0,20.0,2.97,3.5,198.0,0.0,651.0,1177.0368390708384,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,24
40.0,20.0,2.97,3.5,198.0,0.0,744.0,856.4456093031288,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,25
40.0,20.0,2.97,3.5,198.0,0.0,744.0,545.4296595354192,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,26
40.0,20.0,2.97,3.5,198.0,0.0,744.0,1167.4615590708386,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,27
40.0,20.0,2.97,3.5,198.0,0.0,837.0,846.8703293031288,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,28
40.0,20.0,2.97,3.5,198.0,0.0,837.0,535.8543795354193,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,29
40.0,20.0,2.97,3.5,198.0,0.0,837.0,1157.8862790708386,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,30
40.0,20.0,2.97,3.5,198.0,0.0,930.0,837.2950493031287,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,31
40.0,20.0,2.97,3.5,198.0,0.0,930.0,526.2790995354193,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,32
40.0,20.0,2.97,3.5,198.0,0.0,930.0,1148.3109990708385,0.0,107.17107652003243,27.74110887730876,205.0,35.0,30.0,4.0,33
40.0,20.0,2.97,3.5,198.0,0.0,1023.0,827.7197693031287,0.0,83.6875837924415,21.349836657981566,205.0,35.0,30.0,3.0,34
40.0,20.0,2.97,3.5,198.0,0.0,1023.0,516.7038195354193,0.0,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,35
