fc′,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
37.0,3.85,4.56,198.0,0.0,0.0,863.0692606053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,1
37.0,3.85,4.56,198.0,0.0,93.0,853.4939806053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,2
37.0,3.85,4.56,198.0,0.0,186.0,843.9187006053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,3
37.0,3.85,4.56,198.0,0.0,279.0,834.3434206053942,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,4
37.0,3.85,4.56,198.0,0.0,372.0,824.7681406053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,5
37.0,3.85,4.56,198.0,0.0,465.0,815.1928606053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,6
37.0,3.85,4.56,198.0,0.0,558.0,805.6175806053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,7
37.0,3.85,4.56,198.0,0.0,651.0,796.0423006053942,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,8
37.0,3.85,4.56,198.0,0.0,744.0,786.4670206053942,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,9
37.0,3.85,4.56,198.0,0.0,837.0,776.8917406053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,10
37.0,3.85,4.56,198.0,0.0,930.0,767.3164606053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,11
37.0,3.85,4.56,198.0,0.0,1023.0,757.7411806053941,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,12
37.0,3.85,4.56,198.0,0.0,1116.0,748.1659006053942,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,13
37.0,3.85,4.56,198.0,0.0,1209.0,738.5906206053942,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,14
37.0,3.85,4.56,198.0,0.0,1302.0,729.015340605394,0.0,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,15
37.0,3.85,4.56,198.0,20.0,0.0,863.0692606053941,149.4568446503542,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,16
37.0,3.85,4.56,198.0,20.0,93.0,853.4939806053941,145.73603081548632,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,17
37.0,3.85,4.56,198.0,20.0,186.0,843.9187006053941,142.65913656016454,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,18
37.0,3.85,4.56,198.0,20.0,279.0,834.3434206053942,144.27070408333628,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,19
37.0,3.85,4.56,198.0,20.0,372.0,824.7681406053941,150.02524572160533,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,20
37.0,3.85,4.56,198.0,20.0,465.0,815.1928606053941,155.7740026023622,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,21
37.0,3.85,4.56,198.0,20.0,558.0,805.6175806053941,161.48549895446658,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,22
37.0,3.85,4.56,198.0,20.0,651.0,796.0423006053942,167.10345841530216,82.60271702162545,20.782024868981914,205.0,35.0,30.0,3.0,23
