fc′,dosage,fR1,fR3,as,dps,fpe,Pu,Mu,Vu,carbon,L,t,Lc,T,ID
40.0,20.0,2.97,3.5,198.0,0.0,0.0,683.8078995354193,9.542624552515729e7,27.618752627265785,14.95856443865438,205.0,35.0,30.0,2.0,1
40.0,20.0,2.97,3.5,198.0,0.0,93.0,674.2326195354193,9.417763903440595e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,2
40.0,20.0,2.97,3.5,198.0,0.0,186.0,664.6573395354193,9.29290325436546e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,3
40.0,20.0,2.97,3.5,198.0,0.0,279.0,655.0820595354193,9.168042605290326e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,4
40.0,20.0,2.97,3.5,198.0,0.0,372.0,645.5067795354194,9.043181956215192e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,5
40.0,20.0,2.97,3.5,198.0,0.0,465.0,635.9314995354193,8.918321307140058e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,6
40.0,20.0,2.97,3.5,198.0,0.0,558.0,626.3562195354192,8.793460658064926e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,7
40.0,20.0,2.97,3.5,198.0,0.0,651.0,616.7809395354192,8.668600008989789e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,8
40.0,20.0,2.97,3.5,198.0,0.0,744.0,607.2056595354192,8.543739359914656e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,9
40.0,20.0,2.97,3.5,198.0,0.0,837.0,597.6303795354193,8.418878710839523e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,10
40.0,20.0,2.97,3.5,198.0,0.0,930.0,588.0550995354192,8.29401806176439e7,59.28327239999639,14.95856443865438,205.0,35.0,30.0,2.0,11
40.0,20.0,2.97,3.5,280.0,0.0,0.0,709.3918995354193,9.542624552515729e7,31.000474449211783,15.85974443865438,205.0,35.0,30.0,2.0,12
40.0,20.0,2.97,3.5,280.0,0.0,93.0,695.8510995354193,9.366053937662002e7,62.664994221942415,15.85974443865438,205.0,35.0,30.0,2.0,13
40.0,20.0,2.97,3.5,280.0,0.0,186.0,682.3102995354192,9.189483322808279e7,62.664994221942415,15.85974443865438,205.0,35.0,30.0,2.0,14
40.0,20.0,2.97,3.5,280.0,0.0,279.0,668.7694995354193,9.012912707954553e7,62.664994221942415,15.85974443865438,205.0,35.0,30.0,2.0,15
40.0,20.0,2.97,3.5,280.0,0.0,372.0,655.2286995354192,8.83634209310083e7,62.664994221942415,15.85974443865438,205.0,35.0,30.0,2.0,16
40.0,20.0,2.97,3.5,280.0,0.0,465.0,641.6878995354193,8.659771478247105e7,62.664994221942415,15.85974443865438,205.0,35.0,30.0,2.0,17
