fc′,L,fR3,t,span_vu,Lc,span_mu,span,as,dps,fpe,fR1,control
67.0,133.20000000000002,7.67,47.4,7.884549027163898,30.0,10.213922999812752,7.884549027163898,280.0,133.20000000000002,1302.0,6.98,Shear control
67.0,331.5,7.67,62.7,20.43290094338724,30.0,31.544610266997083,20.43290094338724,280.0,331.5,1302.0,6.98,Shear control
67.0,229.8,7.67,76.0,16.395449738833335,30.0,22.89837491273493,16.395449738833335,280.0,229.8,1302.0,6.98,Shear control
67.0,383.2,7.67,54.800000000000004,21.934803818927147,30.0,35.48155086505537,21.934803818927147,280.0,383.2,1302.0,6.98,Shear control
67.0,292.7,7.67,37.1,13.933089307480104,30.0,23.02806543717338,13.933089307480104,280.0,292.7,1302.0,6.98,Shear control
67.0,174.4,7.67,32.0,7.828941322834179,30.0,11.804774384316524,7.828941322834179,280.0,174.4,1302.0,6.98,Shear control
67.0,396.9,7.67,52.400000000000006,22.23442744254801,30.0,36.42002175029536,22.23442744254801,280.0,396.9,1302.0,6.98,Shear control
67.0,296.5,7.67,77.7,20.694295777941658,30.0,30.209464646100496,20.694295777941658,280.0,296.5,1302.0,6.98,Shear control
67.0,284.6,7.67,49.8,15.723971759039184,30.0,24.558080202404177,15.723971759039184,280.0,284.6,1302.0,6.98,Shear control
67.0,310.5,7.67,79.3,21.781714027484185,30.0,31.958197797702372,21.781714027484185,280.0,310.5,1302.0,6.98,Shear control
67.0,128.0,7.67,96.5,11.542136524084736,30.0,13.784648190024997,11.542136524084736,280.0,128.0,1302.0,6.98,Shear control
67.0,214.60000000000002,7.67,41.300000000000004,10.909442578679005,30.0,16.585212758852002,10.909442578679005,280.0,214.60000000000002,1302.0,6.98,Shear control
67.0,150.79999999999998,7.67,85.9,12.38739012656901,30.0,15.569694368428022,12.38739012656901,280.0,150.79999999999998,1302.0,6.98,Shear control
67.0,192.20000000000002,7.67,85.6,15.102846746079804,30.0,20.04968413534872,15.102846746079804,280.0,192.20000000000002,1302.0,6.98,Shear control
67.0,365.9,7.67,87.6,26.438233768717527,30.0,39.31431477550192,26.438233768717527,280.0,365.9,1302.0,6.98,Shear control
67.0,315.0,7.67,68.9,20.48052088751043,30.0,30.830860919077082,20.48052088751043,280.0,315.0,1302.0,6.98,Shear control
67.0,104.1,7.67,79.0,8.771792494864915,30.0,10.285777734249434,8.771792494864915,280.0,104.1,1302.0,6.98,Shear control
67.0,341.9,7.67,99.4,26.623259074803745,30.0,38.3638445859482,26.623259074803745,280.0,341.9,1302.0,6.98,Shear control
67.0,118.8,7.67,90.1,10.465865484907244,30.0,12.58798166106521,10.465865484907244,280.0,118.8,1302.0,6.98,Shear control
67.0,257.6,7.67,66.0,16.718669221093997,30.0,24.411781480014984,16.718669221093997,280.0,257.6,1302.0,6.98,Shear control
67.0,398.1,7.67,49.099999999999994,21.65959333008647,30.0,35.86864003145375,21.65959333008647,280.0,398.1,1302.0,6.98,Shear control
