fc′,L,fR3,t,span_vu,Lc,span_mu,span,as,dps,fpe,fR1,control
67.0,104.7,7.67,31.099999999999998,5.452521417809932,3.0,6.931918971141011,5.452521417809932,280.0,104.7,1302.0,6.98,Shear control
67.0,114.1,7.67,31.099999999999998,5.823850456873209,3.0,7.641183287621725,5.823850456873209,280.0,114.1,1302.0,6.98,Shear control
67.0,123.39999999999999,7.67,31.099999999999998,6.194414667191611,3.0,8.352412691098227,6.194414667191611,280.0,123.39999999999999,1302.0,6.98,Shear control
67.0,132.8,7.67,31.099999999999998,6.572666696968039,3.0,8.9135031826064,6.572666696968039,280.0,132.8,1302.0,6.98,Shear control
67.0,142.2,7.67,31.099999999999998,6.954979366582621,3.0,9.668198383347285,6.954979366582621,280.0,142.2,1302.0,6.98,Shear control
67.0,151.60000000000002,7.67,31.099999999999998,7.34158402610331,3.0,10.429567138544519,7.34158402610331,280.0,151.60000000000002,1302.0,6.98,Shear control
67.0,160.89999999999998,7.67,31.099999999999998,7.728448624112538,3.0,11.188319521192202,7.728448624112538,280.0,160.89999999999998,1302.0,6.98,Shear control
67.0,170.3,7.67,31.099999999999998,8.123984091912543,3.0,11.9622391389556,8.123984091912543,280.0,170.3,1302.0,6.98,Shear control
67.0,179.7,7.67,31.099999999999998,8.52410063848937,3.0,12.742387905965005,8.52410063848937,280.0,179.7,1302.0,6.98,Shear control
67.0,189.1,7.67,31.099999999999998,8.928808458774679,3.0,13.528867845475338,8.928808458774679,280.0,189.1,1302.0,6.98,Shear control
67.0,198.4,7.67,31.099999999999998,9.333711292992131,3.0,14.313140497321342,9.333711292992131,280.0,198.4,1302.0,6.98,Shear control
67.0,207.8,7.67,31.099999999999998,9.747476160219744,3.0,15.112863411521774,9.747476160219744,280.0,207.8,1302.0,6.98,Shear control
67.0,217.20000000000002,7.67,31.099999999999998,10.165714288141835,3.0,15.91840259079865,10.165714288141835,280.0,217.20000000000002,1302.0,6.98,Shear control
67.0,226.6,7.67,31.099999999999998,10.58835141413765,3.0,16.735007806078475,10.58835141413765,280.0,226.6,1302.0,6.98,Shear control
67.0,235.9,7.67,31.099999999999998,11.010736585353232,3.0,17.551866223265467,11.010736585353232,280.0,235.9,1302.0,6.98,Shear control
67.0,245.29999999999998,7.67,31.099999999999998,11.441857541528723,3.0,18.386238812185887,11.441857541528723,280.0,245.29999999999998,1302.0,6.98,Shear control
67.0,254.7,7.67,31.099999999999998,11.877090264968832,3.0,19.22905112620593,11.877090264968832,280.0,254.7,1302.0,6.98,Shear control
67.0,264.1,7.67,31.099999999999998,12.316322774518644,3.0,20.08014283293387,12.316322774518644,280.0,264.1,1302.0,6.98,Shear control
67.0,273.4,7.67,31.099999999999998,12.75470333465945,3.0,20.92860364624691,12.75470333465945,280.0,273.4,1302.0,6.98,Shear control
67.0,282.8,7.67,31.099999999999998,13.201538082646422,3.0,21.79355299347176,13.201538082646422,280.0,282.8,1302.0,6.98,Shear control
67.0,292.2,7.67,31.099999999999998,13.652007304952875,3.0,22.666872127104224,13.652007304952875,280.0,292.2,1302.0,6.98,Shear control
67.0,301.59999999999997,7.67,31.099999999999998,14.105981417788934,3.0,23.547010312078413,14.105981417788934,280.0,301.59999999999997,1302.0,6.98,Shear control
67.0,310.90000000000003,7.67,31.099999999999998,14.55844558632068,3.0,24.425497571664422,14.55844558632068,280.0,310.90000000000003,1302.0,6.98,Shear control
67.0,320.29999999999995,7.67,31.099999999999998,15.018997221445472,3.0,25.32134980124672,15.018997221445472,280.0,320.29999999999995,1302.0,6.98,Shear control
67.0,329.7,7.67,31.099999999999998,15.482653076969347,3.0,26.224745782010295,15.482653076969347,280.0,329.7,1302.0,6.98,Shear control
67.0,339.1,7.67,31.099999999999998,15.949276248127854,3.0,27.135738686564352,15.949276248127854,280.0,339.1,1302.0,6.98,Shear control
67.0,348.4,7.67,31.099999999999998,16.413720453004352,3.0,28.040445210858714,16.413720453004352,280.0,348.4,1302.0,6.98,Shear control
67.0,357.8,7.67,31.099999999999998,16.88583680497099,3.0,28.956660565322057,16.88583680497099,280.0,357.8,1302.0,6.98,Shear control
67.0,367.20000000000005,7.67,31.099999999999998,17.36050776243206,3.0,29.87673659939231,17.36050776243206,280.0,367.20000000000005,1302.0,6.98,Shear control
67.0,376.59999999999997,7.67,31.099999999999998,17.837595081798028,3.0,30.799083102327142,17.837595081798028,280.0,376.59999999999997,1302.0,6.98,Shear control
