fc′,L,fR3,t,span_vu,Lc,span_mu,span,as,dps,fpe,fR1,control
67.0,128.1,7.67,88.7,11.038088334647783,30.0,13.245959910317511,11.038088334647783,280.0,128.1,1302.0,6.98,Shear control
67.0,197.4,7.67,52.5,11.61134675585195,30.0,16.62844160268993,11.61134675585195,280.0,197.4,1302.0,6.98,Shear control
67.0,234.0,7.67,72.5,16.210052998194463,30.0,22.88085200442075,16.210052998194463,280.0,234.0,1302.0,6.98,Shear control
67.0,382.79999999999995,7.67,80.4,26.345095905356235,30.0,40.01852416741543,26.345095905356235,280.0,382.79999999999995,1302.0,6.98,Shear control
67.0,104.1,7.67,59.0,7.445954669932213,30.0,8.909847964930444,7.445954669932213,280.0,104.1,1302.0,6.98,Shear control
67.0,159.89999999999998,7.67,31.4,7.171878237964461,30.0,10.568386569315026,7.171878237964461,280.0,159.89999999999998,1302.0,6.98,Shear control
67.0,212.10000000000002,7.67,82.19999999999999,16.022962866915652,30.0,21.798102304132392,16.022962866915652,280.0,212.10000000000002,1302.0,6.98,Shear control
67.0,209.4,7.67,99.8,17.70449378902494,30.0,23.464961582386124,17.70449378902494,280.0,209.4,1302.0,6.98,Shear control
67.0,280.8,7.67,97.0,22.280752401372762,30.0,31.144198119361402,22.280752401372762,280.0,280.8,1302.0,6.98,Shear control
67.0,188.70000000000002,7.67,98.4,16.104388905823498,30.0,20.977973406330406,16.104388905823498,280.0,188.70000000000002,1302.0,6.98,Shear control
67.0,269.4,7.67,91.39999999999999,20.825479919079594,30.0,29.149443307611627,20.825479919079594,280.0,269.4,1302.0,6.98,Shear control
67.0,339.3,7.67,30.099999999999998,14.821909802869913,30.0,25.999931770367166,14.821909802869913,280.0,339.3,1302.0,6.98,Shear control
67.0,147.9,7.67,47.0,8.529116786845783,30.0,11.466406469531709,8.529116786845783,280.0,147.9,1302.0,6.98,Shear control
67.0,383.7,7.67,83.3,26.86269575913895,30.0,40.59197346099072,26.86269575913895,280.0,383.7,1302.0,6.98,Shear control
67.0,132.6,7.67,73.3,10.191664772242971,30.0,12.537787545283516,10.191664772242971,280.0,132.6,1302.0,6.98,Shear control
67.0,140.1,7.67,57.5,9.221700436089067,30.0,11.852011327596866,9.221700436089067,280.0,140.1,1302.0,6.98,Shear control
67.0,108.89999999999999,7.67,91.6,9.826480983441481,30.0,11.583647922887806,9.826480983441481,280.0,108.89999999999999,1302.0,6.98,Shear control
67.0,101.1,7.67,37.1,5.509924533874405,30.0,6.881265210070538,5.509924533874405,280.0,101.1,1302.0,6.98,Shear control
67.0,102.6,7.67,40.0,5.832302194230558,30.0,7.25169252549786,5.832302194230558,280.0,102.6,1302.0,6.98,Shear control
67.0,177.9,7.67,84.4,14.048575189945435,30.0,18.381403691737592,14.048575189945435,280.0,177.9,1302.0,6.98,Shear control
67.0,248.1,7.67,65.10000000000001,16.048968973474533,30.0,23.31358610449052,16.048968973474533,280.0,248.1,1302.0,6.98,Shear control
67.0,352.5,7.67,33.8,16.22350693308926,30.0,28.078416268551308,16.22350693308926,280.0,352.5,1302.0,6.98,Shear control
67.0,396.3,7.67,73.4,25.990822191454882,30.0,40.29079197022429,25.990822191454882,280.0,396.3,1302.0,6.98,Shear control
67.0,246.9,7.67,35.8,11.544515570222805,30.0,18.576815937942207,11.544515570222805,280.0,246.9,1302.0,6.98,Shear control
67.0,378.59999999999997,7.67,84.7,26.772605757257946,30.0,40.258958557634045,26.772605757257946,280.0,378.59999999999997,1302.0,6.98,Shear control
67.0,349.8,7.67,52.900000000000006,19.75258362138823,30.0,31.68321671609958,19.75258362138823,280.0,349.8,1302.0,6.98,Shear control
67.0,216.6,7.67,88.3,16.99114102661663,30.0,22.989189730026617,16.99114102661663,280.0,216.6,1302.0,6.98,Shear control
67.0,204.0,7.67,66.5,13.710540458132323,30.0,19.068847281489727,13.710540458132323,280.0,204.0,1302.0,6.98,Shear control
67.0,168.9,7.67,76.7,12.730968870159298,30.0,16.643756803737336,12.730968870159298,280.0,168.9,1302.0,6.98,Shear control
67.0,227.70000000000002,7.67,88.6,17.754754519984733,30.0,24.226871650561716,17.754754519984733,280.0,227.70000000000002,1302.0,6.98,Shear control
67.0,351.3,7.67,55.0,20.21233643003161,30.0,32.23028146016762,20.21233643003161,280.0,351.3,1302.0,6.98,Shear control
67.0,106.5,7.67,65.8,8.068756984010538,30.0,9.631812343992845,8.068756984010538,280.0,106.5,1302.0,6.98,Shear control
67.0,270.9,7.67,69.9,18.044377276872165,30.0,26.353244244958802,18.044377276872165,280.0,270.9,1302.0,6.98,Shear control
67.0,313.8,7.67,71.1,20.750904835781306,30.0,31.0543440183056,20.750904835781306,280.0,313.8,1302.0,6.98,Shear control
67.0,348.3,7.67,80.60000000000001,24.286594665222857,30.0,36.28010108897028,24.286594665222857,280.0,348.3,1302.0,6.98,Shear control
67.0,185.70000000000002,7.67,89.5,15.057485569524337,30.0,19.749683411667867,15.057485569524337,280.0,185.70000000000002,1302.0,6.98,Shear control
67.0,357.3,7.67,55.4,20.614774798675285,30.0,32.92392724335177,20.614774798675285,280.0,357.3,1302.0,6.98,Shear control
67.0,164.1,7.67,34.8,7.784187288376875,30.0,11.354909692403343,7.784187288376875,280.0,164.1,1302.0,6.98,Shear control
67.0,385.5,7.67,48.599999999999994,20.88134910037765,30.0,34.479534294835155,20.88134910037765,280.0,385.5,1302.0,6.98,Shear control
67.0,296.09999999999997,7.67,81.60000000000001,21.223499162105732,30.0,30.733017803312514,21.223499162105732,280.0,296.09999999999997,1302.0,6.98,Shear control
67.0,226.5,7.67,75.0,16.071623208321704,30.0,22.426706666694404,16.071623208321704,280.0,226.5,1302.0,6.98,Shear control
67.0,265.79999999999995,7.67,79.5,19.05784639265521,30.0,27.171831604901477,19.05784639265521,280.0,265.79999999999995,1302.0,6.98,Shear control
67.0,121.5,7.67,79.9,9.983174441310917,30.0,12.16025174994219,9.983174441310917,280.0,121.5,1302.0,6.98,Shear control
67.0,121.80000000000001,7.67,40.599999999999994,6.6924294154321196,30.0,8.819833279720283,6.6924294154321196,280.0,121.80000000000001,1302.0,6.98,Shear control
67.0,286.5,7.67,45.900000000000006,15.169627216851154,30.0,24.059744004438755,15.169627216851154,280.0,286.5,1302.0,6.98,Shear control
67.0,273.9,7.67,38.6,13.291487945280014,30.0,21.545809990843416,13.291487945280014,280.0,273.9,1302.0,6.98,Shear control
67.0,283.2,7.67,90.7,21.635255623280283,30.0,30.58267961285283,21.635255623280283,280.0,283.2,1302.0,6.98,Shear control
67.0,382.2,7.67,99.5,29.226451566196634,30.0,42.94278253275684,29.226451566196634,280.0,382.2,1302.0,6.98,Shear control
67.0,345.9,7.67,96.69999999999999,26.50588404381275,30.0,38.43103760241227,26.50588404381275,280.0,345.9,1302.0,6.98,Shear control
67.0,328.79999999999995,7.67,31.3,14.562196424736525,30.0,25.267158329727216,14.562196424736525,280.0,328.79999999999995,1302.0,6.98,Shear control
67.0,125.4,7.67,66.3,9.197274827414036,30.0,11.48459896407318,9.197274827414036,280.0,125.4,1302.0,6.98,Shear control
67.0,351.0,7.67,49.9,19.2699318847877,30.0,31.233248792877646,19.2699318847877,280.0,351.0,1302.0,6.98,Shear control
67.0,112.8,7.67,97.8,10.456916100244298,30.0,12.39986822860569,10.456916100244298,280.0,112.8,1302.0,6.98,Shear control
67.0,379.8,7.67,59.5,22.607668042852858,30.0,36.02625154846367,22.607668042852858,280.0,379.8,1302.0,6.98,Shear control
67.0,303.3,7.67,66.69999999999999,19.457971641860087,30.0,29.24974018172245,19.457971641860087,280.0,303.3,1302.0,6.98,Shear control
67.0,236.1,7.67,59.2,14.559361795459212,30.0,21.267228164788943,14.559361795459212,280.0,236.1,1302.0,6.98,Shear control
67.0,359.4,7.67,59.6,21.479066772040486,30.0,33.91719131819614,21.479066772040486,280.0,359.4,1302.0,6.98,Shear control
67.0,393.6,7.67,41.8,19.959055531043813,30.0,33.86571087644263,19.959055531043813,280.0,393.6,1302.0,6.98,Shear control
