strength,dosage,fR1,fR3
28,20,2.08574,2.671598
28,25,2.68324,3.308028
28,30,3.28074,3.944458
28,35,3.87824,4.580888
28,40,4.47574,5.217318
35,20,2.85,3.37
35,25,3.35,3.98
35,30,3.85,4.56
35,35,4.35,5.1
35,40,4.85,5.61
40,20,2.97,3.5
40,25,3.49,4.13
40,30,4.01,4.72
40,35,4.54,5.28
40,40,5.06,5.81
45,20,3.09,3.63
45,25,3.63,4.27
45,30,4.18,4.88
45,35,4.72,5.46
45,40,5.27,6.01
50,20,3.34,3.89
50,25,3.92,4.57
50,30,4.51,5.22
50,35,5.1,5.83
50,40,5.69,6.41
55,20,3.59,4.17
55,25,4.22,4.88
55,30,4.85,5.56
55,35,5.48,6.21
55,40,6.12,6.82
60,20,3.84,4.45
60,25,4.52,5.2
60,30,5.2,5.91
60,35,5.87,6.59
60,40,6.55,7.24
67,20,4.11,4.74
67,25,4.82,5.52
67,30,5.54,6.27
67,35,6.26,6.99
67,40,6.98,7.67
80,20,5.1059,5.72505
80,25,5.7034,6.36148
80,30,6.3009,6.99791
80,35,6.8984,7.63434
80,40,7.4959,8.27077
90,20,5.6867,6.31231
90,25,6.2842,6.94874
90,30,6.8817,7.58517
90,35,7.4792,8.2216
90,40,8.0767,8.85803
100,20,6.2675,6.89957
100,25,6.865,7.536
100,30,7.4625,8.17243
100,35,8.06,8.80886
100,40,8.6575,9.44529
